well_ID,Cell_line,Treatment,,,,,,,,,,
K22,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
L22,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
M22,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
N22,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
O22,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
P22,empty,empty,,,,,,,,,,
A23,empty,empty,,,,,,,,,,
B23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
C23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
D23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
E23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
F23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
G23,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
H23,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
I23,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
J23,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
K23,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
L23,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
M23,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
N23,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
O23,HEK293T_Dvl2_mEos_Axin_KO_VII,PF670462,,,,,,,,,,
P23,empty,empty,,,,,,,,,,
A24,empty,empty,,,,,,,,,,
B24,empty,empty,,,,,,,,,,
C24,empty,empty,,,,,,,,,,
D24,empty,empty,,,,,,,,,,
E24,empty,empty,,,,,,,,,,
F24,empty,empty,,,,,,,,,,
G24,empty,empty,,,,,,,,,,
H24,empty,empty,,,,,,,,,,
I24,empty,empty,,,,,,,,,,
J24,empty,empty,,,,,,,,,,
K24,empty,empty,,,,,,,,,,
L24,empty,empty,,,,,,,,,,
M24,empty,empty,,,,,,,,,,
N24,empty,empty,,,,,,,,,,
O24,empty,empty,,,,,,,,,,
P24,empty,empty,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
